Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2023,Academy Of The Holy Names,330025,Albany,Albany,12208,6,<4,<4,0,<4,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Adult Learning Center,330032,Albany,Albany,12203,<4,0,0,0,<4,"Albany, NY 12203
(42.6776651, -73.8335149)"
Fall 2023,Albany Academies,330035,Albany,Albany,12208,15,5,4,<4,5,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Albany High School,330041,Albany,Albany,12203,236,30,25,5,176,"Albany, NY 12203
(42.6776651, -73.8335149)"
Fall 2023,Albany Leadership Charter Scho,330062,Albany,Albany,12208,13,6,<4,<4,5,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Berne-Knox-Westerlo Junior-Sen,330415,Berne,Albany,12023,14,<4,<4,0,10,"Berne, NY 12023
(42.5955548, -74.1470374)"
Fall 2023,Bethlehem Central High School,331595,Delmar,Albany,12054,159,54,39,7,59,"Delmar, NY 12054
(42.6128173, -73.83526)"
Fall 2023,Bishop Maginn High School,330043,Albany,Albany,12202,<4,0,0,0,<4,"Albany, NY 12202
(42.6423415, -73.7596453)"
Fall 2023,Christian Brothers Academy,330050,Albany,Albany,12205,18,4,0,<4,12,"Albany, NY 12205
(42.7178817, -73.8214951)"
Fall 2023,Clayton A Bouton Junior/Senior,335740,Voorheesville,Albany,12186,45,7,16,<4,20,"Voorheesville, NY 12186
(42.636638, -73.9651239)"
Fall 2023,Cohoes High School,331425,Cohoes,Albany,12047,35,<4,10,0,24,"Cohoes, NY 12047
(42.7748464, -73.7142716)"
Fall 2023,Colonie Central High School,330055,Albany,Albany,12205,185,53,18,7,107,"Albany, NY 12205
(42.7178817, -73.8214951)"
Fall 2023,Green Tech High Charter School,330108,Albany,Albany,12202,23,4,<4,<4,16,"Albany, NY 12202
(42.6423415, -73.7596453)"
Fall 2023,Guilderland High School,332210,Guilderland Ctr,Albany,12085,154,57,26,7,64,"Guilderland Ctr, NY 12085
(42.7026286, -73.9649977)"
Fall 2023,Harriet Tubman Democratic High,330044,Albany,Albany,12202,<4,0,0,0,<4,"Albany, NY 12202
(42.6423415, -73.7596453)"
Fall 2023,Heatly Junior-Senior High Scho,332180,Green Island,Albany,12183,8,0,<4,<4,5,"Green Island, NY 12183
(42.743494, -73.69279)"
Fall 2023,Loudonville Christian School,332923,Loudonville,Albany,12211,5,0,0,<4,4,"Loudonville, NY 12211
(42.705331, -73.772851)"
Fall 2023,Northern Rivers - Neil Hellman,330066,Albany,Albany,12208,<4,0,0,0,<4,"Albany, NY 12208
(42.657435, -73.794423)"
Fall 2023,Ravena-Coeymans-Selkirk High,334670,Ravena,Albany,12143,52,11,9,<4,30,"Ravena, NY 12143
(42.4649359, -73.8229047)"
Fall 2023,Shaker High School,333388,Latham,Albany,12110,221,72,19,5,125,"Latham, NY 12110
(42.7516601, -73.7723623)"
Fall 2023,St. Anne Institute,330078,Albany,Albany,12206,<4,<4,0,0,<4,"Albany, NY 12206
(42.6727449, -73.7816475)"
Fall 2023,Tech Valley High School,334898,Albany,Albany,12203,14,4,<4,<4,7,"Albany, NY 12203
(42.6776651, -73.8335149)"
Fall 2023,Watervliet Junior/Senior High,335830,Watervliet,Albany,12189,39,<4,4,0,33,"Watervliet, NY 12189
(42.7335958, -73.7140234)"
Fall 2023,Alfred-Almond Central School,330135,Almond,Allegany,14804,16,5,4,<4,4,"Almond, NY 14804
(42.320892, -77.7979453)"
Fall 2023,Andover Central School,330185,Andover,Allegany,14806,8,<4,0,6,0,"Andover, NY 14806
(42.158259, -77.795244)"
Fall 2023,Belfast Central School,330375,Belfast,Allegany,14711,12,0,4,5,<4,"Belfast, NY 14711
(42.3245956, -78.1181087)"
Fall 2023,Bolivar-Richburg Central Schoo,330455,Bolivar,Allegany,14715,16,<4,0,<4,13,"Bolivar, NY 14715
(42.0836648, -78.1578882)"
Fall 2023,Canaseraga High School,331200,Canaseraga,Allegany,14822,4,<4,0,<4,<4,"Canaseraga, NY 14822
(42.444067, -77.808686)"
Fall 2023,Cuba-Rushford Central School,331560,Cuba,Allegany,14727,19,0,<4,11,6,"Cuba, NY 14727
(42.214082, -78.283863)"
Fall 2023,Fillmore Central School,331900,Fillmore,Allegany,14735,24,<4,6,6,10,"Fillmore, NY 14735
(42.466111, -78.114238)"
Fall 2023,Friendship Central School,332015,Friendship,Allegany,14739,11,0,<4,4,4,"Friendship, NY 14739
(42.2082346, -78.1374893)"
Fall 2023,Genesee Valley Central School,330395,Belmont,Allegany,14813,14,<4,4,5,<4,"Belmont, NY 14813
(42.227009, -78.032064)"
Fall 2023,Houghton Academy,332470,Houghton,Allegany,14744,<4,<4,0,0,0,"Houghton, NY 14744
(42.4209963, -78.1591358)"
Fall 2023,Scio Central School,335145,Scio,Allegany,14880,7,0,<4,<4,<4,"Scio, NY 14880
(42.1731528, -77.9913569)"
Fall 2023,Wellsville High School,335870,Wellsville,Allegany,14895,41,<4,4,27,9,"Wellsville, NY 14895
(42.1164041, -77.93935)"
Fall 2023,Whitesville Central School,335965,Whitesville,Allegany,14897,5,0,<4,<4,<4,"Whitesville, NY 14897
(42.0365633, -77.7656454)"
Fall 2023,Academy For Scholarship & Entr,330492,Bronx,Bronx,10466,14,5,<4,<4,6,"Bronx, NY 10466
(40.8869965, -73.852663)"
Fall 2023,Academy Of Mount St. Ursula,333390,Bronx,Bronx,10458,11,<4,5,0,4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Adlai E. Stevenson High School,333407,Bronx,Bronx,10473,<4,0,0,0,<4,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Alfred E. Smith High School,333485,Bronx,Bronx,10451,4,<4,0,<4,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,All Hallows High School,333410,Bronx,Bronx,10452,21,9,7,0,5,"Bronx, NY 10452
(40.8385512, -73.9202231)"
Fall 2023,Antonia Pantoja Preparatory Ac,331062,Bronx,Bronx,10473,<4,<4,<4,0,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Aquinas High School,333420,Bronx,Bronx,10457,<4,0,0,0,<4,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,"Archimedes Academy For Math, S",330481,Bronx,Bronx,10473,<4,0,0,<4,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Astor Collegiate Academy,330508,Bronx,Bronx,10469,9,<4,4,<4,<4,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Belmont Preparatory High Schoo,330584,Bronx,Bronx,10458,5,<4,4,0,0,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Bronx Academy For Software Eng,331143,Bronx,Bronx,10458,5,<4,<4,0,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Bronx Academy Of Health Career,330797,Bronx,Bronx,10467,4,<4,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Bronx Academy Of Letters,330647,Bronx,Bronx,10451,4,<4,<4,0,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Bronx Aerospace High School,330606,Bronx,Bronx,10467,5,<4,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Bronx Bridges High School,331076,Bronx,Bronx,10473,<4,0,0,<4,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Bronx Career And College Prepa,331068,Bronx,Bronx,10456,<4,<4,0,0,0,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Bronx Center For Science And M,330821,Bronx,Bronx,10456,5,0,<4,<4,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Bronx Collaborative High Schoo,331147,Bronx,Bronx,10468,11,<4,<4,4,4,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,Bronx Collegiate Academy,330761,Bronx,Bronx,10457,5,<4,<4,<4,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Bronx Compass High School,331119,Bronx,Bronx,10473,<4,0,0,<4,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Bronxdale High School,330471,Bronx,Bronx,10469,14,4,4,4,<4,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Bronx Design And Construction,331098,Bronx,Bronx,10451,<4,0,<4,0,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Bronx Early College Academy,331063,Bronx,Bronx,10456,6,<4,0,<4,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Bronx Engineering And Technolo,330763,Bronx,Bronx,10463,10,<4,6,<4,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Bronx Envision Academy,330472,Bronx,Bronx,10460,6,0,<4,0,4,"Bronx, NY 10460
(40.8412077, -73.8799543)"
Fall 2023,Bronx Haven High School,331022,Bronx,Bronx,10451,<4,0,0,0,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Bronx Health Science High Scho,330703,Bronx,Bronx,10475,7,<4,<4,<4,<4,"Bronx, NY 10475
(40.873022, -73.82681)"
Fall 2023,Bronx High School For Law & Co,330592,Bronx,Bronx,10458,8,<4,<4,<4,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Bronx High School For Medical,330599,Bronx,Bronx,10457,10,5,5,0,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Bronx High School For Writing,330689,Bronx,Bronx,10467,<4,<4,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Bronx High School Of Business,330602,Bronx,Bronx,10457,<4,0,<4,0,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Bronx High School Of Visual Ar,330557,Bronx,Bronx,10462,6,<4,<4,0,<4,"Bronx, NY 10462
(40.84178, -73.858887)"
Fall 2023,Bronx International High Schoo,330586,Bronx,Bronx,10456,<4,0,0,<4,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Bronx Lab School,330804,Bronx,Bronx,10467,<4,<4,0,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Bronx Leadership Academy High,330548,Bronx,Bronx,10457,<4,<4,<4,0,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Bronx Leadership Academy Ii Hi,330568,Bronx,Bronx,10451,12,5,<4,<4,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Bronx Prep Charter School,330661,Bronx,Bronx,10457,15,<4,9,4,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Bronx Regional High School,330529,Bronx,Bronx,10459,<4,0,0,0,<4,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,Bronx River High School,331136,Bronx,Bronx,10461,8,<4,4,<4,<4,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,"Bronx School For Law, Governme",330552,Bronx,Bronx,10451,6,<4,<4,<4,0,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Bronx School Of Law & Finance,330702,Bronx,Bronx,10463,11,<4,4,<4,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Bronx Studio School For Writer,331077,Bronx,Bronx,10459,4,<4,<4,<4,0,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,Bronx Theatre High School,330608,Bronx,Bronx,10463,13,4,7,0,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Bronxwood Preparatory Academy,330744,Bronx,Bronx,10466,11,5,0,<4,5,"Bronx, NY 10466
(40.8869965, -73.852663)"
Fall 2023,Cardinal Hayes High School,333510,Bronx,Bronx,10451,48,7,10,16,15,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Cardinal Spellman High School,333511,Bronx,Bronx,10466,51,24,13,4,10,"Bronx, NY 10466
(40.8869965, -73.852663)"
Fall 2023,Careers In Sports High School,330612,Bronx,Bronx,10451,10,0,<4,6,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Celia Cruz Bronx High School O,330607,Bronx,Bronx,10468,21,<4,16,<4,<4,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,Charter High School For Law An,331193,Bronx,Bronx,10453,8,<4,<4,<4,<4,"Bronx, NY 10453
(40.8522178, -73.9119865)"
Fall 2023,Christopher Columbus High Sch,333560,Bronx,Bronx,10469,6,0,0,0,6,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Cinema School,331067,Bronx,Bronx,10472,13,4,5,<4,<4,"Bronx, NY 10472
(40.829235, -73.871214)"
Fall 2023,Claremont International High S,331114,Bronx,Bronx,10457,4,<4,<4,0,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Collegiate Institute For Math,330676,Bronx,Bronx,10469,14,6,<4,<4,4,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Community School For Social Ju,330524,Bronx,Bronx,10451,<4,<4,<4,<4,0,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Comprehensive Model School Pro,331102,Bronx,Bronx,10452,8,<4,<4,<4,<4,"Bronx, NY 10452
(40.8385512, -73.9202231)"
Fall 2023,Dewitt Clinton High School,333590,Bronx,Bronx,10468,30,12,4,6,8,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,Discovery High School,330609,Bronx,Bronx,10468,6,0,<4,<4,<4,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,Do Not Use Monroe Academy For,333720,Bronx,Bronx,10472,<4,0,0,0,<4,"Bronx, NY 10472
(40.829235, -73.871214)"
Fall 2023,Dreamyard Preparatory School,330839,Bronx,Bronx,10457,10,<4,4,<4,<4,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Dr. Richard Izquierdo Health &,331158,Bronx,Bronx,10456,19,13,4,<4,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Eagle Academy For Young Men,330497,Bronx,Bronx,10457,18,6,<4,5,4,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,East Bronx Academy For Future,331691,Bronx,Bronx,10460,<4,<4,0,<4,0,"Bronx, NY 10460
(40.8412077, -73.8799543)"
Fall 2023,Ellis Preparatory Academy,330854,Bronx,Bronx,10463,<4,0,<4,0,0,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Ethical Culture Fieldston Scho,333628,Bronx,Bronx,10471,<4,<4,0,0,<4,"Bronx, NY 10471
(40.9030551, -73.9037098)"
Fall 2023,Evander Childs High School,333620,Bronx,Bronx,10467,<4,0,0,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Eximius College Preparatory Ac,330493,Bronx,Bronx,10456,8,<4,<4,<4,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Explorations Academy,330721,Bronx,Bronx,10460,<4,<4,0,0,0,"Bronx, NY 10460
(40.8412077, -73.8799543)"
Fall 2023,Fannie Lou Hamer Freedom High,330515,Bronx,Bronx,10460,11,<4,<4,<4,5,"Bronx, NY 10460
(40.8412077, -73.8799543)"
Fall 2023,Fordham High School For The Ar,330591,Bronx,Bronx,10458,13,8,5,0,0,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Fordham Leadership Academy For,330604,Bronx,Bronx,10458,12,<4,7,<4,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Fordham Preparatory School,333635,Bronx,Bronx,10458,18,9,<4,0,7,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Frederick Douglass Academy Iii,330935,Bronx,Bronx,10456,5,<4,4,0,0,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Gotham Collaborative High Scho,330905,Bronx,Bronx,10473,5,<4,0,4,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Grace Career & Technical High,333660,Bronx,Bronx,10458,<4,0,0,0,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Harry S. Truman High School,330531,Bronx,Bronx,10475,42,8,16,7,11,"Bronx, NY 10475
(40.873022, -73.82681)"
Fall 2023,Health Opportunities High Scho,330527,Bronx,Bronx,10451,4,0,<4,0,<4,"Bronx, NY 10451
(40.820162, -73.9213833)"
Fall 2023,Herbert H. Lehman High School,330533,Bronx,Bronx,10461,26,5,6,7,8,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,High School For Contemporary A,330614,Bronx,Bronx,10467,4,0,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,High School For Energy And Tec,331109,Bronx,Bronx,10458,5,<4,<4,<4,0,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,High School For Language & Inn,330478,Bronx,Bronx,10469,<4,0,0,<4,0,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,High School For Teaching & The,330587,Bronx,Bronx,10468,<4,0,<4,0,<4,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,High School Of American Studie,330603,Bronx,Bronx,10468,14,12,<4,0,0,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,High School Of Computers & Tec,330673,Bronx,Bronx,10467,6,4,<4,0,<4,"Bronx, NY 10467
(40.8750658, -73.873667)"
Fall 2023,Horace Mann School,333700,Bronx,Bronx,10471,5,<4,<4,0,<4,"Bronx, NY 10471
(40.9030551, -73.9037098)"
Fall 2023,Hostos-Lincoln Academy Of Scie,330546,Bronx,Bronx,10455,6,<4,<4,0,<4,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,In-Tech Academy,330649,Bronx,Bronx,10463,16,<4,11,0,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,International Leadership Chart,330977,Bronx,Bronx,10463,7,<4,<4,0,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,International School Of Libera,330944,Bronx,Bronx,10468,<4,0,0,0,<4,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,Jane Addams Vocational High Sc,333721,Bronx,Bronx,10456,<4,0,0,0,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Jill Chaifetz Transfer High Sc,330963,Bronx,Bronx,10456,<4,0,<4,<4,0,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,John F. Kennedy High School,333719,Bronx,Bronx,10463,<4,0,0,<4,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Knowledge / Power Prep Acad In,331028,Bronx,Bronx,10458,18,7,8,0,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Leaders In Our Neighborhood (L,330978,Bronx,Bronx,10474,16,4,4,4,4,"Bronx, NY 10474
(40.8133474, -73.8871141)"
Fall 2023,Longwood Preparatory Academy,330521,Bronx,Bronx,10459,11,<4,5,<4,<4,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,Marble Hill School For Interna,330562,Bronx,Bronx,10463,11,9,<4,0,0,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Marie Curie School For Medicin,330701,Bronx,Bronx,10463,4,0,<4,0,<4,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Metropolitan Soundview High Sc,330474,Bronx,Bronx,10472,9,<4,<4,<4,5,"Bronx, NY 10472
(40.829235, -73.871214)"
Fall 2023,Millennium Art Academy,330503,Bronx,Bronx,10473,5,0,<4,<4,<4,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Monsignor Scanlan High School,333975,Bronx,Bronx,10465,15,4,<4,<4,7,"Bronx, NY 10465
(40.823601, -73.817801)"
Fall 2023,Morris Academy For Collaborati,330491,Bronx,Bronx,10456,8,<4,4,<4,0,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,Mott Hall V,330482,Bronx,Bronx,10472,5,<4,<4,0,<4,"Bronx, NY 10472
(40.829235, -73.871214)"
Fall 2023,Mott Haven Community High Scho,331103,Bronx,Bronx,10455,5,0,0,<4,<4,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,Mott Haven Village Preparatory,330559,Bronx,Bronx,10455,<4,<4,0,<4,0,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,Mount St. Michael Academy,333830,Bronx,Bronx,10466,31,<4,9,9,11,"Bronx, NY 10466
(40.8869965, -73.852663)"
Fall 2023,New Directions Seconday School,330026,Bronx,Bronx,10457,<4,0,0,<4,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,New Visions A.I.M. Charter Hig,331133,Bronx,Bronx,10459,5,0,<4,<4,<4,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,New Visions Charter High Schoo,331091,Bronx,Bronx,10463,22,9,<4,4,7,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,New Visions Charter High Schoo,330476,Bronx,Bronx,10463,28,5,7,6,10,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,New Visions Charter Hs For Adv,331093,Bronx,Bronx,10456,16,7,<4,5,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,New Visions Charter Humanities,331113,Bronx,Bronx,10456,14,<4,<4,5,4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,New World High School,330494,Bronx,Bronx,10466,<4,<4,<4,0,0,"Bronx, NY 10466
(40.8869965, -73.852663)"
Fall 2023,New York Institute For Special,333852,Bronx,Bronx,10469,<4,0,0,0,<4,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Nuasin Next Generation Charter,330181,Bronx,Bronx,10452,4,<4,0,<4,<4,"Bronx, NY 10452
(40.8385512, -73.9202231)"
Fall 2023,Our Saviour Lutheran High Scho,333873,Bronx,Bronx,10461,<4,0,0,0,<4,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,Passages Academy,330523,Bronx,Bronx,10455,<4,0,0,0,<4,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,Pelham Lab High School,331132,Bronx,Bronx,10461,<4,<4,<4,0,0,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,Pelham Preparatory Academy,330618,Bronx,Bronx,10469,17,7,5,0,5,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,Pharos Academy Charter School,331084,Bronx,Bronx,10459,12,6,4,0,<4,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,Preston High School,333885,Bronx,Bronx,10465,23,8,8,<4,6,"Bronx, NY 10465
(40.823601, -73.817801)"
Fall 2023,Renaissance High School For Mu,330681,Bronx,Bronx,10461,9,<4,<4,<4,<4,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,Riverdale Country School,333920,Bronx,Bronx,10471,<4,<4,0,0,0,"Bronx, NY 10471
(40.9030551, -73.9037098)"
Fall 2023,Riverdale Kingsbridge Academy,330938,Bronx,Bronx,10463,32,11,4,<4,14,"Bronx, NY 10463
(40.8802551, -73.9061788)"
Fall 2023,Samuel Gompers Vocational Tech,334030,Bronx,Bronx,10455,<4,0,0,0,<4,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,Sar High School,334751,Riverdale,Bronx,10471,17,15,0,0,<4,"Riverdale, NY 10471
(40.8952545, -73.912587)"
Fall 2023,Schomburg Satellite Academy,333824,Bronx,Bronx,10459,6,0,0,<4,4,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,Schuylerville Preparatory High,331146,Bronx,Bronx,10461,14,<4,4,<4,6,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,South Bronx Community Charter,330137,Bronx,Bronx,10456,4,0,4,0,0,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,South Bronx Preparatory,330668,Bronx,Bronx,10454,9,<4,<4,<4,<4,"Bronx, NY 10454
(40.8072919, -73.9185587)"
Fall 2023,St. Barnabas High School,333955,Bronx,Bronx,10470,19,7,<4,<4,8,"Bronx, NY 10470
(40.900008, -73.861909)"
Fall 2023,St. Catharine Academy,333965,Bronx,Bronx,10469,20,4,4,0,12,"Bronx, NY 10469
(40.8694618, -73.8510877)"
Fall 2023,St. Raymond Academy For Girls,334008,Bronx,Bronx,10462,11,<4,4,<4,<4,"Bronx, NY 10462
(40.84178, -73.858887)"
Fall 2023,St. Raymond High School Boys,334011,Bronx,Bronx,10462,22,7,<4,<4,9,"Bronx, NY 10462
(40.84178, -73.858887)"
Fall 2023,Theatre Arts Production Compan,330838,Bronx,Bronx,10457,13,0,6,<4,5,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,The Bronx High School Of Scien,333480,Bronx,Bronx,10468,180,162,5,<4,11,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,The Bronx Latin School,331049,Bronx,Bronx,10456,10,4,5,0,<4,"Bronx, NY 10456
(40.830161, -73.908787)"
Fall 2023,The Laboratory School Of Finan,331134,Bronx,Bronx,10454,8,0,4,<4,<4,"Bronx, NY 10454
(40.8072919, -73.9185587)"
Fall 2023,The Metropolitan High School,330961,Bronx,Bronx,10459,<4,0,<4,0,<4,"Bronx, NY 10459
(40.825613, -73.893869)"
Fall 2023,The Urban Assembly Academy For,330907,Bronx,Bronx,10457,<4,0,<4,0,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,University Heights High School,330538,New York,Bronx,10455,14,12,<4,0,0,"New York, NY 10455
(40.815, -73.9080271)"
Fall 2023,University Prep Charter High S,331069,Bronx,Bronx,10455,13,5,<4,<4,<4,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,Urban Assembly School For Appl,330953,Bronx,Bronx,10457,10,<4,4,5,0,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,Urban Dove Team Ii Charter Sch,330102,Bronx,Bronx,10455,6,0,<4,0,<4,"Bronx, NY 10455
(40.815, -73.9080271)"
Fall 2023,Validus Preparatory Academy Hi,330962,Bronx,Bronx,10457,7,<4,<4,<4,4,"Bronx, NY 10457
(40.8489853, -73.8993471)"
Fall 2023,West Bronx Academy For The Fut,330762,Bronx,Bronx,10458,7,4,0,0,<4,"Bronx, NY 10458
(40.8643133, -73.8893667)"
Fall 2023,Westchester Square Academy,331116,Bronx,Bronx,10461,20,<4,7,7,4,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,Wings Academy High School,330516,Bronx,Bronx,10460,16,0,0,9,7,"Bronx, NY 10460
(40.8412077, -73.8799543)"
Fall 2023,Women'S Academy Of Excellence,330811,Bronx,Bronx,10473,<4,0,<4,0,0,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,World View High School,331144,Bronx,Bronx,10468,11,4,<4,<4,<4,"Bronx, NY 10468
(40.8668593, -73.8991434)"
Fall 2023,Yabc At Adlai E Stevenson Hig,330828,Bronx,Bronx,10473,<4,0,0,0,<4,"Bronx, NY 10473
(40.8195618, -73.8601192)"
Fall 2023,Yabc At Herbert H Lehman High,330968,Bronx,Bronx,10461,<4,0,<4,0,0,"Bronx, NY 10461
(40.848956, -73.841878)"
Fall 2023,Yabc At John F Kennedy High S,330826,Bronx,Bronx,10463,<4,<4,0,0,0,"Bronx, NY 10463
(40.8802551, -73.9061788)"
